
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 336, Time: 2.05078, Systemstep: 0.00610352

Begin Step 337, Time: 2.05688, Systemstep: 0.00610352

Begin Step 338, Time: 2.06299, Systemstep: 0.00610352

Begin Step 339, Time: 2.06909, Systemstep: 0.00610352

Begin Step 340, Time: 2.0752, Systemstep: 0.00610352

Begin Step 341, Time: 2.0813, Systemstep: 0.00253208

Begin Step 342, Time: 2.0874, Systemstep: 0.00610352

Begin Step 343, Time: 2.09351, Systemstep: 0.00610352

Begin Step 344, Time: 2.09961, Systemstep: 0.00610352

Begin Step 345, Time: 2.10571, Systemstep: 0.00610352

Begin Step 346, Time: 2.11182, Systemstep: 0.00610352

Begin Step 347, Time: 2.11792, Systemstep: 0.00610352

Begin Step 348, Time: 2.12402, Systemstep: 0.00283271

Begin Step 349, Time: 2.13013, Systemstep: 0.00610352

Begin Step 350, Time: 2.13623, Systemstep: 0.00610352

Begin Step 351, Time: 2.14233, Systemstep: 0.00610352

Begin Step 352, Time: 2.14844, Systemstep: 0.00610352

Begin Step 353, Time: 2.15454, Systemstep: 0.00610352

Begin Step 354, Time: 2.16064, Systemstep: 0.00610352

Begin Step 355, Time: 2.16675, Systemstep: 0.00313371

Begin Step 356, Time: 2.17285, Systemstep: 0.00610352

Begin Step 357, Time: 2.17896, Systemstep: 0.00610352

Begin Step 358, Time: 2.18506, Systemstep: 0.00610352

Begin Step 359, Time: 2.19116, Systemstep: 0.00610352

Begin Step 360, Time: 2.19727, Systemstep: 0.00610352

Begin Step 361, Time: 2.20337, Systemstep: 0.00610352

Begin Step 362, Time: 2.20947, Systemstep: 0.00343435

Begin Step 363, Time: 2.21558, Systemstep: 0.00610352

Begin Step 364, Time: 2.22168, Systemstep: 0.00610352

Begin Step 365, Time: 2.22778, Systemstep: 0.00610352

Begin Step 366, Time: 2.23389, Systemstep: 0.00610352

Begin Step 367, Time: 2.23999, Systemstep: 0.00610352

Begin Step 368, Time: 2.24609, Systemstep: 0.00610352

Begin Step 369, Time: 2.2522, Systemstep: 0.00373535

Begin Step 370, Time: 2.2583, Systemstep: 0.00610352

Begin Step 371, Time: 2.2644, Systemstep: 0.00610352

Begin Step 372, Time: 2.27051, Systemstep: 0.00610352

Begin Step 373, Time: 2.27661, Systemstep: 0.00610352

Begin Step 374, Time: 2.28271, Systemstep: 0.00610352

Begin Step 375, Time: 2.28882, Systemstep: 0.00610352

Begin Step 376, Time: 2.29492, Systemstep: 0.00403598

Begin Step 377, Time: 2.30103, Systemstep: 0.00610352

Begin Step 378, Time: 2.30713, Systemstep: 0.00610352

Begin Step 379, Time: 2.31323, Systemstep: 0.00610352

Begin Step 380, Time: 2.31934, Systemstep: 0.00610352

Begin Step 381, Time: 2.32544, Systemstep: 0.00610352

Begin Step 382, Time: 2.33154, Systemstep: 0.00610352

